time,node,protocol,latency_ms,jitter_ms,packet_status,collision,distance_m,snr_db,deadline_500ms,deadline_1000ms,num_nodes,farm_radius
60,7,NB-IoT,359.983,10.0032,DELIVERED,0,89.9739,34.1864,1,1,10,100
60,8,NB-IoT,373.407,19.9938,DELIVERED,0,71.1106,37.6703,1,1,10,100
60,9,NB-IoT,382.994,30.0048,DELIVERED,0,70.4911,44.1561,1,1,10,100
60,10,NB-IoT,357.657,39.9961,DELIVERED,0,87.9848,53.4829,1,1,10,100
60,11,NB-IoT,365.77,24.0012,DELIVERED,0,80.6545,42.2582,1,1,10,100
60,12,NB-IoT,306.282,24.0024,DELIVERED,0,15.4234,68.7127,1,1,10,100
60,13,NB-IoT,362.591,4.97225,DELIVERED,0,54.8862,48.1411,1,1,10,100
65,4,NB-IoT,364.162,35.0035,DELIVERED,0,34.7434,56.4534,1,1,10,100
65,5,NB-IoT,380.009,5.99897,DELIVERED,0,90.0133,33.0438,1,1,10,100
65,6,NB-IoT,391.003,7.00646,DELIVERED,0,90.0044,36.7891,1,1,10,100
65,7,NB-IoT,405.978,45.9954,DELIVERED,0,89.967,40.76,1,1,10,100
65,8,NB-IoT,381.416,8.00866,DELIVERED,0,71.1236,44.4047,1,1,10,100
65,9,NB-IoT,384.998,2.00393,DELIVERED,0,70.497,43.5767,1,1,10,100
65,10,NB-IoT,382.657,25,DELIVERED,0,87.9848,41.5668,1,1,10,100
65,11,NB-IoT,362.77,3,DELIVERED,0,80.6545,38.5895,1,1,10,100
65,12,NB-IoT,324.281,17.9988,DELIVERED,0,15.4216,59.2491,1,1,10,100
65,13,NB-IoT,348.599,13.9916,DELIVERED,0,54.8988,50.8623,1,1,10,100
70,4,NB-IoT,324.174,39.9886,DELIVERED,0,34.7606,59.6435,1,1,10,100
70,5,NB-IoT,406.013,26.0043,DELIVERED,0,90.0198,36.4565,1,1,10,100
70,6,NB-IoT,358.003,33,DELIVERED,0,90.0044,42.2254,1,1,10,100
70,7,NB-IoT,397.978,8.00028,DELIVERED,0,89.9665,43.4595,1,1,10,100
70,8,NB-IoT,363.416,18,DELIVERED,0,71.1236,41.7168,1,1,10,100
70,9,NB-IoT,347.998,37,DELIVERED,0,70.497,41.1745,1,1,10,100
70,10,NB-IoT,371.663,10.9936,DELIVERED,0,87.9944,38.7331,1,1,10,100
70,11,NB-IoT,380.772,18.0021,DELIVERED,0,80.6576,45.7426,1,1,10,100
70,12,NB-IoT,325.278,0.997249,DELIVERED,0,15.4175,69.7897,1,1,10,100
70,13,NB-IoT,375.605,27.0062,DELIVERED,0,54.908,51.728,1,1,10,100
75,4,NB-IoT,354.163,29.9888,DELIVERED,0,34.7439,50.6697,1,1,10,100
75,5,NB-IoT,365.01,41.0028,DELIVERED,0,90.0156,42.3986,1,1,10,100
75,6,NB-IoT,367.008,9.00458,DELIVERED,0,90.0113,39.3509,1,1,10,100
75,7,NB-IoT,409.986,12.0087,DELIVERED,0,89.9796,43.2078,1,1,10,100
75,8,NB-IoT,351.404,12.0115,DELIVERED,0,71.1062,40.7707,1,1,10,100
75,9,NB-IoT,365.978,17.9795,DELIVERED,0,70.4663,43.2867,1,1,10,100
75,10,NB-IoT,387.665,16.002,DELIVERED,0,87.9974,43.4025,1,1,10,100
75,11,NB-IoT,398.768,17.9958,DELIVERED,0,80.6513,41.12,1,1,10,100
75,12,NB-IoT,325.27,0.00877683,DELIVERED,0,15.4043,61.2217,1,1,10,100
75,13,NB-IoT,356.605,19,DELIVERED,0,54.908,45.2409,1,1,10,100
80,4,NB-IoT,351.16,3.00221,DELIVERED,0,34.7405,46.7291,1,1,10,100
80,5,NB-IoT,372.01,7,DELIVERED,0,90.0156,52.976,1,1,10,100
80,6,NB-IoT,379.008,12,DELIVERED,0,90.0113,34.8004,1,1,10,100
80,7,NB-IoT,400.975,9.01167,DELIVERED,0,89.9621,27.822,1,1,10,100
80,8,NB-IoT,365.399,13.9945,DELIVERED,0,71.098,46.723,1,1,10,100
80,9,NB-IoT,390.966,24.988,DELIVERED,0,70.4483,37.2752,1,1,10,100
80,10,NB-IoT,396.663,8.99828,DELIVERED,0,87.9948,37.9162,1,1,10,100
80,11,NB-IoT,398.765,0.00296431,DELIVERED,0,80.6468,30.5677,1,1,10,100
80,12,NB-IoT,324.259,1.01021,DELIVERED,0,15.389,65.4228,1,1,10,100
80,13,NB-IoT,349.611,6.99444,DELIVERED,0,54.9164,51.167,1,1,10,100
85,4,NB-IoT,333.151,18.0089,DELIVERED,0,34.7271,47.1255,1,1,10,100
85,5,NB-IoT,365.015,6.9955,DELIVERED,0,90.0223,28.5314,1,1,10,100
85,6,NB-IoT,365.006,14.0011,DELIVERED,0,90.0096,29.6851,1,1,10,100
85,7,NB-IoT,393.977,6.99765,DELIVERED,0,89.9657,42.1943,1,1,10,100
85,8,NB-IoT,377.392,11.9933,DELIVERED,0,71.088,45.9415,1,1,10,100
85,9,NB-IoT,382.966,7.99999,DELIVERED,0,70.4483,42.7309,1,1,10,100
85,10,NB-IoT,396.663,0,DELIVERED,0,87.9948,52.5061,1,1,10,100
85,11,NB-IoT,351.768,46.9966,DELIVERED,0,80.652,45.4491,1,1,10,100
85,12,NB-IoT,318.254,6.00559,DELIVERED,0,15.3806,70.3243,1,1,10,100
85,13,NB-IoT,369.604,19.9928,DELIVERED,0,54.9056,38.1054,1,1,10,100
90,4,NB-IoT,341.158,8.0061,DELIVERED,0,34.7363,49.8697,1,1,10,100
90,5,NB-IoT,363.014,2.00049,DELIVERED,0,90.0216,42.3262,1,1,10,100
90,6,NB-IoT,404.002,38.9959,DELIVERED,0,90.0034,37.6974,1,1,10,100
90,7,NB-IoT,395.977,2,DELIVERED,0,89.9657,40.7397,1,1,10,100
90,8,NB-IoT,356.378,21.0144,DELIVERED,0,71.0663,43.7903,1,1,10,100
90,9,NB-IoT,380.961,2.0049,DELIVERED,0,70.441,56.098,1,1,10,100
90,10,NB-IoT,389.657,7.00645,DELIVERED,0,87.9852,39.0194,1,1,10,100
90,11,NB-IoT,391.766,39.998,DELIVERED,0,80.6489,42.0334,1,1,10,100
90,12,NB-IoT,334.256,16.0025,DELIVERED,0,15.3844,55.491,1,1,10,100
90,13,NB-IoT,380.589,10.9853,DELIVERED,0,54.8835,47.6733,1,1,10,100
95,4,NB-IoT,339.154,2.00363,DELIVERED,0,34.7308,49.5212,1,1,10,100
95,5,NB-IoT,381.013,17.999,DELIVERED,0,90.0201,42.4544,1,1,10,100
95,6,NB-IoT,362.008,41.9939,DELIVERED,0,90.0126,40.069,1,1,10,100
95,7,NB-IoT,399.973,3.99586,DELIVERED,0,89.9595,40.1944,1,1,10,100
95,8,NB-IoT,360.371,3.99336,DELIVERED,0,71.0564,38.4391,1,1,10,100
95,9,NB-IoT,386.959,5.99819,DELIVERED,0,70.4382,48.7497,1,1,10,100
95,10,NB-IoT,382.653,7.00354,DELIVERED,0,87.9798,33.7671,1,1,10,100
95,11,NB-IoT,376.763,15.0031,DELIVERED,0,80.6443,48.9422,1,1,10,100
95,12,NB-IoT,317.262,16.9938,DELIVERED,0,15.3937,57.2416,1,1,10,100
95,13,NB-IoT,360.592,19.9966,DELIVERED,0,54.8886,53.3599,1,1,10,100
0,0,LoRaWAN,127.28,0,DELIVERED,0,57,65.0972,1,1,10,100
5,1,LoRaWAN,186.689,59.4093,DELIVERED,0,82,60.4277,1,1,10,100
10,2,LoRaWAN,148.003,38.6863,DELIVERED,0,22,77.1482,1,1,10,100
15,3,LoRaWAN,158.4,10.3975,DELIVERED,0,16,81.0865,1,1,10,100
20,4,LoRaWAN,303.755,145.355,DELIVERED,0,92,58.9455,1,1,10,100
25,5,LoRaWAN,134.27,169.485,DELIVERED,0,26,75.0591,1,1,10,100
30,6,LoRaWAN,233.983,99.7128,DELIVERED,0,33,72.0556,1,1,10,100
35,7,LoRaWAN,125.248,108.735,DELIVERED,0,23,76.5937,1,1,10,100
40,8,LoRaWAN,286.997,161.749,DELIVERED,0,90,59.2288,1,1,10,100
45,9,LoRaWAN,230.859,56.1383,DELIVERED,0,73,61.923,1,1,10,100
50,0,LoRaWAN,157.687,73.1724,DELIVERED,0,87,59.6655,1,1,10,100
55,1,LoRaWAN,237.651,79.9648,DELIVERED,0,40,69.6165,1,1,10,100
60,2,LoRaWAN,251.737,14.0852,DELIVERED,0,89,59.3727,1,1,10,100
65,3,LoRaWAN,251.33,0.40652,DELIVERED,0,68,62.8345,1,1,10,100
70,4,LoRaWAN,274.543,23.213,DELIVERED,0,81,60.5856,1,1,10,100
