time,node,species,actual_x,actual_y,actual_z,est_x,est_y,est_z,error_m,temp_c,do_mgl,ph,toa_h1,toa_h2,toa_h3,toa_h4
10,28,Tilapia,-297.629,167.913,-0.454442,-297.633,167.913,0,0.00373159,22.0322,5.83901,7.98534,0.424319,0.646625,0.213763,0.532785
10,29,Tilapia,-389.504,225.414,-0.226911,-389.46,225.514,0,0.109382,22.1431,5.7459,8.00152,0.452146,0.718301,0.154992,0.579329
10,30,Tilapia,-171.001,-316.21,-1.12262,-171.057,-316.235,0,0.0616182,22.1682,5.84885,8.01047,0.206228,0.423529,0.543618,0.657527
10,31,Tilapia,379.054,-163.773,-1.51631,379.052,-163.717,0,0.0552261,22.1833,5.76673,8.00676,0.584762,0.196657,0.687674,0.411919
10,32,Tilapia,-345.789,287.961,-1.44465,-345.818,287.88,0,0.085779,22.2228,5.79167,7.9809,0.496789,0.723543,0.128475,0.541401
10,33,Tilapia,156.793,398.67,-1.43953,156.747,398.682,0,0.0475066,22.0241,5.87163,7.99226,0.695581,0.598615,0.405972,0.198572
10,34,Tilapia,263.889,362.957,-1.64242,263.766,362.987,0,0.126709,22.1737,5.8715,7.99859,0.721255,0.556017,0.47936,0.137071
10,35,Tilapia,-380.795,-104.756,-0.424168,-380.754,-104.759,0,0.0413457,22.1169,5.76193,8.0143,0.234741,0.599778,0.37272,0.665938
10,36,Tilapia,275.395,-0.148645,-0.943563,275.423,-0.22433,0,0.0805933,22.2086,5.77086,7.99338,0.569039,0.32166,0.569205,0.32193
10,37,Tilapia,184.08,-163.114,-1.83896,184.201,-163.159,0,0.128874,22.1474,5.83642,7.98744,0.46401,0.260672,0.588051,0.445517
10,38,Tilapia,79.4291,101.822,-0.597909,79.4273,101.868,0,0.0456955,22.1559,5.76534,8.00124,0.509862,0.44317,0.42243,0.339003
10,39,Tilapia,121.628,403.983,-0.406531,121.684,404.033,0,0.0750292,22.055,5.70414,7.99408,0.685122,0.609959,0.382333,0.220991
10,40,Tilapia,335.686,92.211,-0.692907,335.725,92.2779,0,0.0775642,22.1568,5.96065,7.98034,0.636489,0.369466,0.575543,0.250402
10,41,Tilapia,258.232,62.4674,-0.334724,258.277,62.4789,0,0.0462716,21.9205,5.96783,8.00157,0.582825,0.364729,0.538165,0.288278
10,42,Tilapia,-262.895,-386.915,-1.65983,-262.888,-386.93,0,0.0166428,21.8622,5.96443,7.99541,0.131629,0.477103,0.571714,0.732925
10,43,Tilapia,291.017,343.21,-0.74117,291.007,343.316,0,0.106339,21.9995,5.74388,8.01324,0.723742,0.539367,0.499078,0.127706
10,44,Tilapia,-187.557,-238.211,-1.21194,-187.665,-238.226,0,0.109086,22.0272,5.92104,7.99103,0.224762,0.447971,0.491053,0.625434
10,45,Tilapia,-12.1811,-373.252,-1.28379,-12.164,-373.065,0,0.187861,22.2339,5.6095,8.02523,0.296409,0.312385,0.621542,0.629363
10,46,Tilapia,43.0162,144.757,-0.352501,42.997,144.867,0,0.112203,21.903,5.6612,7.99459,0.515115,0.480508,0.386526,0.339209
10,47,Tilapia,-414.239,-187.809,-1.87472,-414.284,-187.72,0,0.0993837,22.0616,5.67743,7.9996,0.176438,0.602089,0.425773,0.716054
10,48,Tilapia,-439.496,59.7639,-1.18888,-439.562,59.7806,0,0.0680157,22.2132,5.83797,7.99814,0.339928,0.683591,0.260271,0.647529
